"title","job_id","job_category","posting_date","apply_before","job_schedule","locations","banner","requirements"
"Customer Service Clerk","759190","Retail, Store Ops","08/30/2026, 02:25 PM","09/29/2026, 02:25 PM","Part time","1825 LIMEKILN PIKE, DRESHER, PA, 19025, US","ACME Markets","Customer Service Skills: Prior customer service skills or related experience. Technical Skills: Ability to operate electronic scanning cash registers and machines for counting money, wire transfer processing, and lottery. Problem-Solving Skills: Ability to handle stressful and complex situations calmly and professionally. Communication Skills: Ability to understand and follow instructions and communicate effectively with customers and team members. Organizational Skills: Ability to multi-task and work in a fast-paced environment, maintain cleanliness and organization of the work area. Teamwork: Ability to work independently as well as within a large team. Reliability: Ability to provide regular and predictable attendance and comply with workplace conduct standards."
"Meat - Seafood Clerk","759196","Retail, Store Ops","08/30/2026, 02:31 PM","09/29/2026, 02:31 PM","Part time","1825 LIMEKILN PIKE, DRESHER, PA, 19025, US","ACME Markets","You take pride in the work you do, whether big or small. You agree that food is central to all our lives. Helping customers and fellow associates gives you energy. Smiling and making others smile is your favorite. You are eager, willing, and wanting to learn & grow. You believe that being a part of your community matters."
"Retail Sales and Store Support","759199","Retail, Store Ops","08/30/2026, 02:36 PM","09/29/2026, 02:36 PM","Part time","1825 LIMEKILN PIKE, DRESHER, PA, 19025, US","ACME Markets","You take pride in the work you do, whether big or small. You agree that food is central to all our lives. Helping customers and fellow associates gives you energy. Smiling and making others smile is your favorite. You are eager, willing, and wanting to learn & grow. You believe that being a part of your community matters."
"Bakery Clerk","755616","Retail, Store Ops","08/20/2026, 11:43 AM",,"Part time","1336 BRISTOL PIKE, BENSALEM, PA, 19020, US","ACME Markets","A balanced appreciation for both the creative and technical sides of baking. A team-oriented approach and the ability to contribute effectively. A strong sense of pride in producing baked goods that enhance the customer experience. Strong organizational skills and a sharp eye for detail. Openness to learning new techniques and adapting to evolving bakery processes. Genuine interest in food preparation and bakery operations."
"Front End Entry Level","752098","Retail, Store Ops","08/13/2026, 02:31 PM",,"Part time","1336 BRISTOL PIKE, BENSALEM, PA, 19020, US","ACME Markets","You take pride in the work you do, whether big or small. You believe that food is central to all our lives. Helping customers and fellow associates gives you energy. Smiling and making others smile is your favorite. You are eager, willing, and wanting to learn & grow. You believe that being a part of your community matters."
"Fresh Cut Produce Clerk","765035","Retail, Store Ops","09/10/2026, 10:56 AM",,"Part time","1336 BRISTOL PIKE, BENSALEM, PA, 19020, US","ACME Markets","· Food Prep Experience: Prior experience in grocery, food service, or produce prep preferred. · Knife Skills & Safety Awareness: Comfortable using knives and other prep tools with attention to safety and precision. · Freshness Standards: Ability to identify quality produce and follow food safety and handling guidelines. · Customer Service: Friendly and helpful attitude with the ability to assist customers and communicate clearly. · Multitasking & Time Management: Capable of juggling multiple tasks efficiently in a fast-paced environment. · Cleanliness & Organization: Commitment to maintaining a clean, sanitary, and organized workspace. · Physical Capability: Ability to stand for extended periods and lift up to 40 lbs. with or without accommodation. · Teamwork: Willingness to support fellow associates and contribute to a positive store culture."
"Front End Entry Level","766712","Retail, Store Ops","09/14/2026, 05:48 PM",,"Part time","700 LANCASTER AVE, WAYNE, PA, 19087, US","ACME Markets","Customer Interaction Skills: Friendly, clear communication during checkout and customer assistance Transaction Handling: Processing purchases accurately, including cash, card, and digital payments Attention to Detail: Accuracy in scanning, pricing, produce codes, and order completion Basic Math Skills: Handling cash transactions, counting change, and balancing registers Organization & Time Management: Managing multiple tasks while maintaining steady workflow Store Support Awareness: Assisting with bagging, cart retrieval, stocking, and general front‑end upkeep Problem Awareness: Recognizing and addressing pricing, transaction, or customer service questions Operational Awareness: Following company policies, register procedures, and checkout processes Adaptability: Comfort managing changing tasks and customer flow throughout the shift Physical Capability: Comfort with standing for extended periods, lifting up to 50 lbs., and working indoors and outdoors as needed Requirements: Must be 16 years of age or older (or 18 years of age or older, depending on local/state requirements) Completion of company cashier or front-end training upon hire Basic math and communication skills required Ability to work a flexible schedule including early mornings, evenings, weekends, and holidays Prior customer service experience preferred but not required"
"Deli Clerk","746292","Retail, Store Ops","08/05/2026, 03:23 PM","09/22/2026, 03:00 AM","Part time","700 LANCASTER AVE, WAYNE, PA, 19087, US","ACME Markets","· You are 18 years of age or older · You take pride in the work you do, whether big or small · You agree that food is central to all our lives · Helping customers and fellow associates gives you energy · Smiling and making others smile is your favorite · You are eager & willing to learn · Being a part of your community matters"
"Bakery Clerk","753392","Retail, Store Ops","08/15/2026, 12:09 PM",,"Part time","1095 W BALTIMORE PIKE, MEDIA, PA, 19063, US","ACME Markets","A balanced appreciation for both the creative and technical sides of baking. A team-oriented approach and the ability to contribute effectively. A strong sense of pride in producing baked goods that enhance the customer experience. Strong organizational skills and a sharp eye for detail. Openness to learning new techniques and adapting to evolving bakery processes. Genuine interest in food preparation and bakery operations."
"In-Store Shopper","749616","Retail, Store Ops","08/11/2026, 10:44 AM",,"Part time","1095 W BALTIMORE PIKE, MEDIA, PA, 19063, US","ACME Markets","· You take pride in the work you do, whether big or small. · You enjoy a team-based, fast-paced environment. · You agree that food is central to all our lives. · You are flexible to work in varying departments as needed. · Helping customers and fellow associates gives you energy. · Smiling and making others smile is your favorite. · You are eager & willing to learn. · Being a part of your community matters."
"Deli Clerk","748847","Retail, Store Ops","08/10/2026, 10:29 AM",,"Part time","1095 W BALTIMORE PIKE, MEDIA, PA, 19063, US","ACME Markets","· You are 18 years of age or older · You take pride in the work you do, whether big or small · You agree that food is central to all our lives · Helping customers and fellow associates gives you energy · Smiling and making others smile is your favorite · You are eager & willing to learn · Being a part of your community matters"
"Deli Clerk","749698","Retail, Store Ops","08/11/2026, 12:16 PM",,"Part time","415 EGG HARBOR RD, SEWELL, NJ, 08080, US","ACME Markets","· You are 18 years of age or older · You take pride in the work you do, whether big or small · You agree that food is central to all our lives · Helping customers and fellow associates gives you energy · Smiling and making others smile is your favorite · You are eager & willing to learn · Being a part of your community matters"
"Front End Entry Level","749726","Retail, Store Ops","08/11/2026, 12:37 PM",,"Part time","415 EGG HARBOR RD, SEWELL, NJ, 08080, US","ACME Markets","You take pride in the work you do, whether big or small. You believe that food is central to all our lives. Helping customers and fellow associates gives you energy. Smiling and making others smile is your favorite. You are eager, willing, and wanting to learn & grow. You believe that being a part of your community matters."
"Deli Clerk","758881","Retail, Store Ops","08/28/2026, 04:28 PM",,"Part time","25 E GERMANTOWN PIKE, EAST NORRITON, PA, 19401, US","ACME Markets","· You are 18 years of age or older · You take pride in the work you do, whether big or small · You agree that food is central to all our lives · Helping customers and fellow associates gives you energy · Smiling and making others smile is your favorite · You are eager & willing to learn · Being a part of your community matters"
"Cake Decorator","758887","Retail, Store Ops","08/28/2026, 04:34 PM",,"Part time","25 E GERMANTOWN PIKE, EAST NORRITON, PA, 19401, US","ACME Markets","· You agree that food is central in all our lives · You have an artistic and creative skillset · Helping customers and fellow associates gives you energy · You take pride in the work you do, whether big or small · You are eager & willing to learn · Being a part of your community matters"
"Front End Entry Level","W736459","Retail, Store Ops","07/13/2026, 08:00 PM",,"Part time","25 E GERMANTOWN PIKE, EAST NORRITON, PA, 19401, US","ACME Markets","You take pride in the work you do, whether big or small. You believe that food is central to all our lives. Helping customers and fellow associates gives you energy. Smiling and making others smile is your favorite. You are eager, willing, and wanting to learn & grow. You believe that being a part of your community matters."
"Acme Store Director-Philadelphia, PA","W734472","Retail, Store Ops","08/07/2026, 11:45 AM",,"Full time","4101 NORTHVIEW DR, Bowie, MD, 20716, US","ACME Markets","3 to 5 years of progressive retail leadership experience, preferably in grocery, retail, or service industries. High school diploma or equivalent required; college bachelor’s degree preferred. Proven success in team development, sales growth, and operational strategy. Strong analytical, communication, and coaching skills. Experience with workforce management tools and financial analysis platforms. Passion for inclusive leadership, coaching, and community engagement. Physical Environment: Ability to sit, stand or walk for extended periods of time. Ability to reach, lift, stack, and maneuver objects of varying dimensions and weights up to approximately 55 pounds. May spend long periods of time at desk or computer terminal. May use calculators, keyboards, telephone, computers and other office equipment during normal workday. Stooping, bending, twisting, and reaching may be required in completion of some job duties. Workdays are fast paced; holiday, evening and weekend work may be required. This is not an all-inclusive list of duties, functions, or physical requirements of the job. Pay Transparency: The pay range is $88,400 to $148,000 per year, but no less than the local minimum wage. Starting rates will vary based on things like location, experience, qualifications and the terms of any applicable collective bargaining agreement."
"Refrigeration Technician - Philadelphia, Chester, Delaware Counties","W738695","Retail, Store Ops","08/06/2026, 12:52 PM",,"Full time","75 VALLEY STREAM PARKWAY, Malvern, PA, 19355, US","ACME Markets","Up to 35 lbs frequently Up to 50 lbs occasionally Ability to access rooftops as needed. Able to drive a company vehicle. Must be 21 Years of age or older. Work in the vicinity of hazardous, flammable materials. Safety is our first priority; all drivers must have: A valid driver's license with no suspensions. No at fault accidents within the last three years. No DUI/DWI within the last seven years. No more than one moving violation within the last three years. Must pass a background check and Drug Screening"
"Acme Store Director-Philadelphia, PA","766523","Retail, Store Ops","09/14/2026, 02:44 PM",,"Full time","4101 NORTHVIEW DR, Bowie, MD, 20716, US","ACME Markets","3 to 5 years of progressive retail leadership experience, preferably in grocery, retail, or service industries. High school diploma or equivalent required; college bachelor’s degree preferred. Proven success in team development, sales growth, and operational strategy. Strong analytical, communication, and coaching skills. Experience with workforce management tools and financial analysis platforms. Passion for inclusive leadership, coaching, and community engagement. Physical Environment: Ability to sit, stand or walk for extended periods of time. Ability to reach, lift, stack, and maneuver objects of varying dimensions and weights up to approximately 55 pounds. May spend long periods of time at desk or computer terminal. May use calculators, keyboards, telephone, computers and other office equipment during normal workday. Stooping, bending, twisting, and reaching may be required in completion of some job duties. Workdays are fast paced; holiday, evening and weekend work may be required. This is not an all-inclusive list of duties, functions, or physical requirements of the job. Pay Transparency: The pay range is $88,400 to $148,000 per year, but no less than the local minimum wage. Starting rates will vary based on things like location, experience, qualifications and the terms of any applicable collective bargaining agreement."
