"title","job_id","job_category","posting_date","apply_before","job_schedule","locations","banner","requirements"
"Front End Entry Level","757996","Retail, Store Ops","08/26/2026, 02:13 PM","09/25/2026, 02:13 PM","Part time","29 SNYDER AVE, PHILADELPHIA, PA, 19148, US","ACME Markets","You take pride in the work you do, whether big or small. You believe that food is central to all our lives. Helping customers and fellow associates gives you energy. Smiling and making others smile is your favorite. You are eager, willing, and wanting to learn & grow. You believe that being a part of your community matters."
"Night Crew Stocker","757989","Retail, Store Ops","08/26/2026, 02:04 PM","09/25/2026, 02:04 PM","Part time","29 SNYDER AVE, PHILADELPHIA, PA, 19148, US","ACME Markets","· You are 18 years of age or older. · You agree that food is central in all our lives. · You enjoy being on your feet, in fast paced, always moving type work. · You take pride in the work you do, with every detail, whether big or small. · You don’t mind working in different environments (freezer, refrigerator, sales floor). · Being a part of your community matters."
"Deli Clerk","768747","Retail, Store Ops","09/20/2026, 08:50 AM",,"Part time","1901 JOHNSTON ST, PHILADELPHIA, PA, 19145, US","ACME Markets","Customer Interaction Skills: Clear communication when taking orders in person or by phone Food Preparation Skills: Experience preparing deli products, including slicing, assembling, and portioning Product Knowledge: Understanding of deli meats, cheeses, prepared foods, and hot case items Attention to Detail: Accuracy in portioning, labeling, pricing, and order completion Organization & Time Management: Managing multiple tasks while maintaining workflow and service speed Merchandising Awareness: Keeping display cases stocked, clean, and visually consistent Cash Handling: Processing transactions and making accurate change using register systems (varies by location) Operational Awareness: Following food safety, sanitation, and company procedures Adaptability: Comfort working in a fast‑paced environment with changing customer demand Physical Capability: Comfort with standing for extended periods, lifting product up to 35lbs, and working in varying temperatures Requirements: Must be 18 years of age or older Ability to operate slicers and food preparation equipment following training and safety guidelines Basic math skills for weighing, portioning, and transactions Availability to work early mornings, evenings, weekends, and holidays Prior food service or customer service experience preferred"
"In-Store Shopper","759503","Retail, Store Ops","08/31/2026, 01:40 PM",,"Part time","121 E CITY AVE, BALA CYNWYD, PA, 19004, US","ACME Markets","· You take pride in the work you do, whether big or small. · You enjoy a team-based, fast-paced environment. · You agree that food is central to all our lives. · You are flexible to work in varying departments as needed. · Helping customers and fellow associates gives you energy. · Smiling and making others smile is your favorite. · You are eager & willing to learn. · Being a part of your community matters."
"Dairy Clerk","759516","Retail, Store Ops","08/31/2026, 01:47 PM",,"Part time","121 E CITY AVE, BALA CYNWYD, PA, 19004, US","ACME Markets","· Product Knowledge & Freshness Standards: Familiarity of food safety and freshness protocols, with a focus on maintaining product quality. · Inventory & Stocking Skills: Ability to manage inventory, rotate stock effectively, and ensure shelves are organized and full. · Customer Service: Friendly, helpful attitude with the ability to assist customers and communicate clearly. · Attention to Detail: Strong observational skills to monitor product dates, cleanliness, and display standards. · Physical Stamina: Comfortable working in refrigerated environments and staying active throughout the shift. · Team Collaboration: Willingness to partner with teammates and contribute to a positive store environment. · Basic Technical Skills: Familiarity with handheld inventory devices and basic computer systems for order tracking and receiving."
"Deli Clerk","759654","Retail, Store Ops","08/31/2026, 03:09 PM",,"Part time","121 E CITY AVE, BALA CYNWYD, PA, 19004, US","ACME Markets","· You are 18 years of age or older · You take pride in the work you do, whether big or small · You agree that food is central to all our lives · Helping customers and fellow associates gives you energy · Smiling and making others smile is your favorite · You are eager & willing to learn · Being a part of your community matters"
"Meat - Seafood Clerk","759510","Retail, Store Ops","08/31/2026, 01:44 PM",,"Part time","121 E CITY AVE, BALA CYNWYD, PA, 19004, US","ACME Markets","You take pride in the work you do, whether big or small. You agree that food is central to all our lives. Helping customers and fellow associates gives you energy. Smiling and making others smile is your favorite. You are eager, willing, and wanting to learn & grow. You believe that being a part of your community matters."
"Front End Entry Level","759538","Retail, Store Ops","08/31/2026, 01:58 PM",,"Part time","121 E CITY AVE, BALA CYNWYD, PA, 19004, US","ACME Markets","You take pride in the work you do, whether big or small. You believe that food is central to all our lives. Helping customers and fellow associates gives you energy. Smiling and making others smile is your favorite. You are eager, willing, and wanting to learn & grow. You believe that being a part of your community matters."
"Fresh Cut Produce Clerk","759529","Retail, Store Ops","08/31/2026, 01:54 PM",,"Part time","121 E CITY AVE, BALA CYNWYD, PA, 19004, US","ACME Markets","· Food Prep Experience: Prior experience in grocery, food service, or produce prep preferred. · Knife Skills & Safety Awareness: Comfortable using knives and other prep tools with attention to safety and precision. · Freshness Standards: Ability to identify quality produce and follow food safety and handling guidelines. · Customer Service: Friendly and helpful attitude with the ability to assist customers and communicate clearly. · Multitasking & Time Management: Capable of juggling multiple tasks efficiently in a fast-paced environment. · Cleanliness & Organization: Commitment to maintaining a clean, sanitary, and organized workspace. · Physical Capability: Ability to stand for extended periods and lift up to 40 lbs. with or without accommodation. · Teamwork: Willingness to support fellow associates and contribute to a positive store culture."
"Fresh Cut Produce Clerk","758001","Retail, Store Ops","08/26/2026, 02:23 PM",,"Full time","121 E CITY AVE, BALA CYNWYD, PA, 19004, US","ACME Markets","· Food Prep Experience: Prior experience in grocery, food service, or produce prep preferred. · Knife Skills & Safety Awareness: Comfortable using knives and other prep tools with attention to safety and precision. · Freshness Standards: Ability to identify quality produce and follow food safety and handling guidelines. · Customer Service: Friendly and helpful attitude with the ability to assist customers and communicate clearly. · Multitasking & Time Management: Capable of juggling multiple tasks efficiently in a fast-paced environment. · Cleanliness & Organization: Commitment to maintaining a clean, sanitary, and organized workspace. · Physical Capability: Ability to stand for extended periods and lift up to 40 lbs. with or without accommodation. · Teamwork: Willingness to support fellow associates and contribute to a positive store culture."
"Deli Clerk","765325","Retail, Store Ops","09/11/2026, 09:16 AM","10/11/2026, 09:16 AM","Part time","RT 168 AND NICHOLSON RD, AUDUBON, NJ, 08106, US","ACME Markets","· You are 18 years of age or older · You take pride in the work you do, whether big or small · You agree that food is central to all our lives · Helping customers and fellow associates gives you energy · Smiling and making others smile is your favorite · You are eager & willing to learn · Being a part of your community matters"
"Pharmacy Technician","767314","Pharmacy & Health","09/15/2026, 06:48 PM","10/15/2026, 06:48 PM","Part time","RT 168 AND NICHOLSON RD, AUDUBON, NJ, 08106, US","ACME Markets","Customer Interaction Skills: Professional and courteous communication when assisting patients and handling inquiries Prescription Processing: Experience assisting with data entry, medication preparation, and order processing within regulatory limits Attention to Detail: Accuracy in prescription input, labeling, calculations, and record management Organization & Time Management: Managing multiple tasks while maintaining workflow and compliance standards Pharmacy Knowledge: Familiarity with prescription terminology, dosage forms, and product recognition Communication Skills: Effective verbal and written communication, including phone interactions with patients and providers Regulatory Awareness: Following HIPAA requirements and federal and state pharmacy laws Adaptability: Managing changing priorities and multiple requests in a fast‑paced environment Physical Capability: Comfort with standing for extended periods and completing repetitive tasks throughout the shift Requirements: Must be 16 years of age or older (or 18 years of age or older, depending on location requirements) Current Board of Pharmacy registration or licensure required where applicable Ability to operate computers, registers, and pharmacy systems Successful completion of required pharmacy training programs and technician development requirements Working knowledge of pharmacy procedures, prescription processing, and HIPAA guidelines Proficiency in computer systems and basic math calculations Ability to read, interpret, and follow written and verbal instructions Availability to work varying shifts, including evenings, weekends, and holidays preferred"
"Night Crew Stocker","767868","Retail, Store Ops","09/17/2026, 10:49 AM",,"Part time","5927 RIDGE AVE # 59, PHILADELPHIA, PA, 19128, US","ACME Markets","Customer Interaction Skills: Clear communication when assisting customers on the sales floor Stocking & Merchandising: Placing product accurately on shelves and maintaining display standards Product Knowledge: Familiarity with store layout, product locations, and pricing Attention to Detail: Accuracy in stocking, rotation, labeling, and removing outdated products Organization & Time Management: Managing workload efficiently while maintaining clean, organized areas Equipment Use: Operating pallet jacks, box cutters, and store equipment following safety guidelines Inventory Awareness: Monitoring stock levels and maintaining backroom organization Operational Awareness: Following company policies, safety procedures, and stocking processes Adaptability: Comfort working varied shifts, including day, evening, or overnight schedules Physical Capability: Comfort with frequent lifting, carrying, and movement, including lifting up to 60 lbs. Requirements: Must be 18 years of age or older Ability to operate equipment such as pallet jacks and balers following training and safety guidelines Basic math and communication skills required Availability to work flexible shifts including daytime, evening, overnight, weekends, and holidays Compliance with company policies including safety, sanitation, and dress standards Prior retail, stocking, or customer service experience preferred"
"Deli Clerk","766203","Retail, Store Ops","09/14/2026, 10:07 AM","09/28/2026, 10:07 AM","Part time","5927 RIDGE AVE # 59, PHILADELPHIA, PA, 19128, US","ACME Markets","Customer Interaction Skills: Clear communication when taking orders in person or by phone Food Preparation Skills: Experience preparing deli products, including slicing, assembling, and portioning Product Knowledge: Understanding of deli meats, cheeses, prepared foods, and hot case items Attention to Detail: Accuracy in portioning, labeling, pricing, and order completion Organization & Time Management: Managing multiple tasks while maintaining workflow and service speed Merchandising Awareness: Keeping display cases stocked, clean, and visually consistent Cash Handling: Processing transactions and making accurate change using register systems (varies by location) Operational Awareness: Following food safety, sanitation, and company procedures Adaptability: Comfort working in a fast‑paced environment with changing customer demand Physical Capability: Comfort with standing for extended periods, lifting product up to 35lbs, and working in varying temperatures Requirements: Must be 18 years of age or older Ability to operate slicers and food preparation equipment following training and safety guidelines Basic math skills for weighing, portioning, and transactions Availability to work early mornings, evenings, weekends, and holidays Prior food service or customer service experience preferred"
"Deli Associate","W738195","Retail, Store Ops","07/19/2026, 08:00 PM",,"Part time","400 W CUTHBERT BLVD, HADDON TOWNSHIP, NJ, 08108, US","ACME Markets","· You are 18 years of age or older · You take pride in the work you do, whether big or small · You agree that food is central to all our lives · Helping customers and fellow associates gives you energy · Smiling and making others smile is your favorite · You are eager & willing to learn · Being a part of your community matters"
"Night Crew Stocker","762291","Retail, Store Ops","09/04/2026, 11:13 AM",,"Part time","400 W CUTHBERT BLVD, HADDON TOWNSHIP, NJ, 08108, US","ACME Markets","· You are 18 years of age or older. · You agree that food is central in all our lives. · You enjoy being on your feet, in fast paced, always moving type work. · You take pride in the work you do, with every detail, whether big or small. · You don’t mind working in different environments (freezer, refrigerator, sales floor). · Being a part of your community matters."
"In-Store Shopper","W733404","Retail, Store Ops","07/06/2026, 08:00 PM",,"Part time","829 MONTGOMERY AVE, PENN VALLEY, PA, 19072, US","ACME Markets","· You take pride in the work you do, whether big or small. · You enjoy a team-based, fast-paced environment. · You agree that food is central to all our lives. · You are flexible to work in varying departments as needed. · Helping customers and fellow associates gives you energy. · Smiling and making others smile is your favorite. · You are eager & willing to learn. · Being a part of your community matters."
"Deli Clerk","W736204","Retail, Store Ops","07/13/2026, 08:00 PM",,"Part time","829 MONTGOMERY AVE, PENN VALLEY, PA, 19072, US","ACME Markets","· You are 18 years of age or older · You take pride in the work you do, whether big or small · You agree that food is central to all our lives · Helping customers and fellow associates gives you energy · Smiling and making others smile is your favorite · You are eager & willing to learn · Being a part of your community matters"
"Front End Entry Level","759853","Retail, Store Ops","09/01/2026, 07:45 AM",,"Part time","829 MONTGOMERY AVE, PENN VALLEY, PA, 19072, US","ACME Markets","You take pride in the work you do, whether big or small. You believe that food is central to all our lives. Helping customers and fellow associates gives you energy. Smiling and making others smile is your favorite. You are eager, willing, and wanting to learn & grow. You believe that being a part of your community matters."
"Fresh Cut Produce Clerk","768625","Retail, Store Ops","09/19/2026, 09:44 AM",,"Part time","829 MONTGOMERY AVE, PENN VALLEY, PA, 19072, US","ACME Markets","· Food Prep Experience: Prior experience in grocery, food service, or produce prep preferred. · Knife Skills & Safety Awareness: Comfortable using knives and other prep tools with attention to safety and precision. · Freshness Standards: Ability to identify quality produce and follow food safety and handling guidelines. · Customer Service: Friendly and helpful attitude with the ability to assist customers and communicate clearly. · Multitasking & Time Management: Capable of juggling multiple tasks efficiently in a fast-paced environment. · Cleanliness & Organization: Commitment to maintaining a clean, sanitary, and organized workspace. · Physical Capability: Ability to stand for extended periods and lift up to 40 lbs. with or without accommodation. · Teamwork: Willingness to support fellow associates and contribute to a positive store culture."
"In-Store Shopper","766339","Retail, Store Ops","09/14/2026, 12:26 PM",,"Part time","7901 LANSDOWNE AVE, UPPER DARBY, PA, 19082, US","ACME Markets","Customer Interaction Skills: Clear and professional communication when assisting with pickup orders Product Selection Skills: Choosing high-quality items across perishable and non-perishable departments Attention to Detail: Accuracy in order fulfillment, substitutions, and product quality checks Organization & Time Management: Managing multiple orders while maintaining speed and accuracy Technology Use: Comfortable using handheld devices and systems for order picking and tracking Problem Awareness: Identifying out-of-stock items and selecting appropriate substitutions Operational Awareness: Following order fulfillment processes and company standards Team Awareness: Coordinating order needs with team members and department processes Adaptability: Comfort with changing order volume and priorities throughout the shift Physical Capability: Comfort with continuous movement, lifting up to 50 lbs., and working in different store areas Requirements: Must be 18 years of age or older Prior retail, customer service, or fulfillment experience preferred Ability to use handheld devices and follow digital order systems Strong attention to detail required for product quality and order accuracy Availability to work early mornings, evenings, weekends, and holidays Compliance with company policies including safety, sanitation, and dress standards"
"Deli Clerk","745976","Retail, Store Ops","08/05/2026, 01:47 PM",,"Part time","7901 LANSDOWNE AVE, UPPER DARBY, PA, 19082, US","ACME Markets","· You are 18 years of age or older · You take pride in the work you do, whether big or small · You agree that food is central to all our lives · Helping customers and fellow associates gives you energy · Smiling and making others smile is your favorite · You are eager & willing to learn · Being a part of your community matters"
"Asst. Deli Manager-Philadelphia, PA","765186","Retail, Store Ops","09/10/2026, 02:54 PM","09/25/2026, 02:54 PM","Full time","7010 GERMANTOWN AVE, PHILADELPHIA, PA, 19119, US","ACME Markets","Soft skills: Strong customer‑service mindset with a passion for food quality Effective leadership, coaching, and communication skills Strong organization, time management, and problem‑solving abilities Ability to lead in a fast‑paced, high‑volume environment Competencies: Deli production, food handling, and merchandising execution Labor planning, scheduling, and performance management Inventory management, ordering, and shrink control Food safety, sanitation, and compliance oversight Knowledge: Food safety standards, sanitation practices, and equipment operation Deli preparation techniques and merchandising standards Store systems, ordering platforms, and basic computer applications Abilities: Ability to review sales, labor, and shrink data to support planning and prioritization Ability to train, coach, and develop associates Ability to lift up to 50 lbs. and work in hot and cold temperature environments Ability to safely operate slicers, ovens, knives, scales, and cleaning tools Travel requirements: None Other requirements: Flexible availability including early mornings, evenings, weekends, and holidays; reliable attendance; compliance with company policies, food safety standards, and the Code of Business Conduct"
"Deli Clerk","W734681","Retail, Store Ops","07/08/2026, 08:00 PM",,"Part time","6601 ROOSEVELT BLVD, PHILADELPHIA, PA, 19149, US","ACME Markets","· You are 18 years of age or older · You take pride in the work you do, whether big or small · You agree that food is central to all our lives · Helping customers and fellow associates gives you energy · Smiling and making others smile is your favorite · You are eager & willing to learn · Being a part of your community matters"
"Front End Entry Level","W734688","Retail, Store Ops","07/08/2026, 08:00 PM","10/09/2026, 12:00 AM","Part time","6601 ROOSEVELT BLVD, PHILADELPHIA, PA, 19149, US","ACME Markets","You take pride in the work you do, whether big or small. You believe that food is central to all our lives. Helping customers and fellow associates gives you energy. Smiling and making others smile is your favorite. You are eager, willing, and wanting to learn & grow. You believe that being a part of your community matters."
"Fresh Cut Produce Clerk","748505","Retail, Store Ops","08/08/2026, 05:06 PM",,"Part time","6640 OXFORD AVE, PHILADELPHIA, PA, 19111, US","ACME Markets","· Food Prep Experience: Prior experience in grocery, food service, or produce prep preferred. · Knife Skills & Safety Awareness: Comfortable using knives and other prep tools with attention to safety and precision. · Freshness Standards: Ability to identify quality produce and follow food safety and handling guidelines. · Customer Service: Friendly and helpful attitude with the ability to assist customers and communicate clearly. · Multitasking & Time Management: Capable of juggling multiple tasks efficiently in a fast-paced environment. · Cleanliness & Organization: Commitment to maintaining a clean, sanitary, and organized workspace. · Physical Capability: Ability to stand for extended periods and lift up to 40 lbs. with or without accommodation. · Teamwork: Willingness to support fellow associates and contribute to a positive store culture."
"Meat - Seafood Clerk","748705","Retail, Store Ops","08/09/2026, 02:48 PM",,"Part time","5300 W BALTIMORE AVE, CLIFTON HEIGHTS, PA, 19018, US","ACME Markets","You take pride in the work you do, whether big or small. You agree that food is central to all our lives. Helping customers and fellow associates gives you energy. Smiling and making others smile is your favorite. You are eager, willing, and wanting to learn & grow. You believe that being a part of your community matters."
"Front End Entry Level","766315","Retail, Store Ops","09/14/2026, 11:55 AM","10/14/2026, 11:55 AM","Part time","5300 W BALTIMORE AVE, CLIFTON HEIGHTS, PA, 19018, US","ACME Markets","Customer Interaction Skills: Friendly, clear communication during checkout and customer assistance Transaction Handling: Processing purchases accurately, including cash, card, and digital payments Attention to Detail: Accuracy in scanning, pricing, produce codes, and order completion Basic Math Skills: Handling cash transactions, counting change, and balancing registers Organization & Time Management: Managing multiple tasks while maintaining steady workflow Store Support Awareness: Assisting with bagging, cart retrieval, stocking, and general front‑end upkeep Problem Awareness: Recognizing and addressing pricing, transaction, or customer service questions Operational Awareness: Following company policies, register procedures, and checkout processes Adaptability: Comfort managing changing tasks and customer flow throughout the shift Physical Capability: Comfort with standing for extended periods, lifting up to 50 lbs., and working indoors and outdoors as needed Requirements: Must be 16 years of age or older (or 18 years of age or older, depending on local/state requirements) Completion of company cashier or front-end training upon hire Basic math and communication skills required Ability to work a flexible schedule including early mornings, evenings, weekends, and holidays Prior customer service experience preferred but not required"
"Bakery Clerk","766313","Retail, Store Ops","09/14/2026, 11:52 AM","10/14/2026, 11:52 AM","Part time","5300 W BALTIMORE AVE, CLIFTON HEIGHTS, PA, 19018, US","ACME Markets","A balanced appreciation for both the creative and technical sides of baking. A team-oriented approach and the ability to contribute effectively. A strong sense of pride in producing baked goods that enhance the customer experience. Strong organizational skills and a sharp eye for detail. Openness to learning new techniques and adapting to evolving bakery processes. Genuine interest in food preparation and bakery operations."
"Front End Entry Level","W733472","Retail, Store Ops","07/06/2026, 08:00 PM",,"Part time","2 WALNUT ST, HADDONFIELD, NJ, 08033, US","ACME Markets","You take pride in the work you do, whether big or small. You believe that food is central to all our lives. Helping customers and fellow associates gives you energy. Smiling and making others smile is your favorite. You are eager, willing, and wanting to learn & grow. You believe that being a part of your community matters."
"Cake Decorator","761686","Retail, Store Ops","09/03/2026, 11:46 AM","10/03/2026, 11:46 AM","Part time","7700 CRITTENDEN ST, PHILADELPHIA, PA, 19118, US","ACME Markets","· You agree that food is central in all our lives · You have an artistic and creative skillset · Helping customers and fellow associates gives you energy · You take pride in the work you do, whether big or small · You are eager & willing to learn · Being a part of your community matters"
"Customer Service Clerk","748367","Retail, Store Ops","08/08/2026, 12:16 PM",,"Part time","41 W MAIN ST, MAPLE SHADE, NJ, 08052, US","ACME Markets","Customer Service Skills: Prior customer service skills or related experience. Technical Skills: Ability to operate electronic scanning cash registers and machines for counting money, wire transfer processing, and lottery. Problem-Solving Skills: Ability to handle stressful and complex situations calmly and professionally. Communication Skills: Ability to understand and follow instructions and communicate effectively with customers and team members. Organizational Skills: Ability to multi-task and work in a fast-paced environment, maintain cleanliness and organization of the work area. Teamwork: Ability to work independently as well as within a large team. Reliability: Ability to provide regular and predictable attendance and comply with workplace conduct standards."
"Bakery Clerk","753353","Retail, Store Ops","08/15/2026, 10:00 AM",,"Part time","2101 COTTMAN AVE, PHILADELPHIA, PA, 19149, US","ACME Markets","A balanced appreciation for both the creative and technical sides of baking. A team-oriented approach and the ability to contribute effectively. A strong sense of pride in producing baked goods that enhance the customer experience. Strong organizational skills and a sharp eye for detail. Openness to learning new techniques and adapting to evolving bakery processes. Genuine interest in food preparation and bakery operations."
"Front End Entry Level","W742507","Retail, Store Ops","07/27/2026, 08:00 PM",,"Part time","2101 COTTMAN AVE, PHILADELPHIA, PA, 19149, US","ACME Markets","You take pride in the work you do, whether big or small. You believe that food is central to all our lives. Helping customers and fellow associates gives you energy. Smiling and making others smile is your favorite. You are eager, willing, and wanting to learn & grow. You believe that being a part of your community matters."
"In-Store Shopper","766268","Retail, Store Ops","09/14/2026, 11:16 AM","10/14/2026, 11:16 AM","Part time","1305 W CHESTER PIKE, HAVERTOWN, PA, 19083, US","ACME Markets","Customer Interaction Skills: Clear and professional communication when assisting with pickup orders Product Selection Skills: Choosing high-quality items across perishable and non-perishable departments Attention to Detail: Accuracy in order fulfillment, substitutions, and product quality checks Organization & Time Management: Managing multiple orders while maintaining speed and accuracy Technology Use: Comfortable using handheld devices and systems for order picking and tracking Problem Awareness: Identifying out-of-stock items and selecting appropriate substitutions Operational Awareness: Following order fulfillment processes and company standards Team Awareness: Coordinating order needs with team members and department processes Adaptability: Comfort with changing order volume and priorities throughout the shift Physical Capability: Comfort with continuous movement, lifting up to 50 lbs., and working in different store areas Requirements: Must be 18 years of age or older Prior retail, customer service, or fulfillment experience preferred Ability to use handheld devices and follow digital order systems Strong attention to detail required for product quality and order accuracy Availability to work early mornings, evenings, weekends, and holidays Compliance with company policies including safety, sanitation, and dress standards"
"Customer Service Clerk","765920","Retail, Store Ops","09/12/2026, 05:48 PM","10/11/2026, 03:00 AM","Part time","501 E EVESHAM RD, RUNNEMEDE, NJ, 08078, US","ACME Markets","Customer Service Skills: Prior customer service skills or related experience. Technical Skills: Ability to operate electronic scanning cash registers and machines for counting money, wire transfer processing, and lottery. Problem-Solving Skills: Ability to handle stressful and complex situations calmly and professionally. Communication Skills: Ability to understand and follow instructions and communicate effectively with customers and team members. Organizational Skills: Ability to multi-task and work in a fast-paced environment, maintain cleanliness and organization of the work area. Teamwork: Ability to work independently as well as within a large team. Reliability: Ability to provide regular and predictable attendance and comply with workplace conduct standards."
"Night Crew Stocker","765005","Retail, Store Ops","09/10/2026, 09:19 AM","10/10/2026, 09:19 AM","Part time","503 MACDADE BLVD, HOLMES, PA, 19043, US","ACME Markets","· You are 18 years of age or older. · You agree that food is central in all our lives. · You enjoy being on your feet, in fast paced, always moving type work. · You take pride in the work you do, with every detail, whether big or small. · You don’t mind working in different environments (freezer, refrigerator, sales floor). · Being a part of your community matters."
"Front End Entry Level","765009","Retail, Store Ops","09/10/2026, 09:30 AM","10/10/2026, 09:30 AM","Part time","503 MACDADE BLVD, HOLMES, PA, 19043, US","ACME Markets","You take pride in the work you do, whether big or small. You believe that food is central to all our lives. Helping customers and fellow associates gives you energy. Smiling and making others smile is your favorite. You are eager, willing, and wanting to learn & grow. You believe that being a part of your community matters."
"Deli Clerk","763037","Retail, Store Ops","09/05/2026, 11:06 AM","10/05/2026, 11:06 AM","Part time","601 W LANCASTER AVE, BRYN MAWR, PA, 19010, US","ACME Markets","· You are 18 years of age or older · You take pride in the work you do, whether big or small · You agree that food is central to all our lives · Helping customers and fellow associates gives you energy · Smiling and making others smile is your favorite · You are eager & willing to learn · Being a part of your community matters"
"Fresh Cut Produce Clerk","763036","Retail, Store Ops","09/05/2026, 11:01 AM","10/05/2026, 11:01 AM","Part time","601 W LANCASTER AVE, BRYN MAWR, PA, 19010, US","ACME Markets","· Food Prep Experience: Prior experience in grocery, food service, or produce prep preferred. · Knife Skills & Safety Awareness: Comfortable using knives and other prep tools with attention to safety and precision. · Freshness Standards: Ability to identify quality produce and follow food safety and handling guidelines. · Customer Service: Friendly and helpful attitude with the ability to assist customers and communicate clearly. · Multitasking & Time Management: Capable of juggling multiple tasks efficiently in a fast-paced environment. · Cleanliness & Organization: Commitment to maintaining a clean, sanitary, and organized workspace. · Physical Capability: Ability to stand for extended periods and lift up to 40 lbs. with or without accommodation. · Teamwork: Willingness to support fellow associates and contribute to a positive store culture."
"Front End Entry Level","763046","Retail, Store Ops","09/05/2026, 11:14 AM","10/05/2026, 11:14 AM","Part time","601 W LANCASTER AVE, BRYN MAWR, PA, 19010, US","ACME Markets","You take pride in the work you do, whether big or small. You believe that food is central to all our lives. Helping customers and fellow associates gives you energy. Smiling and making others smile is your favorite. You are eager, willing, and wanting to learn & grow. You believe that being a part of your community matters."
"In-Store Shopper","763040","Retail, Store Ops","09/05/2026, 11:11 AM","10/05/2026, 11:11 AM","Part time","601 W LANCASTER AVE, BRYN MAWR, PA, 19010, US","ACME Markets","· You take pride in the work you do, whether big or small. · You enjoy a team-based, fast-paced environment. · You agree that food is central to all our lives. · You are flexible to work in varying departments as needed. · Helping customers and fellow associates gives you energy. · Smiling and making others smile is your favorite. · You are eager & willing to learn. · Being a part of your community matters."
"Pharmacy Manager (Pharmacist)","759822","Pharmacy & Health","08/31/2026, 08:10 PM",,"Full time","631 MANTUA PIKE, WEST DEPTFORD, NJ, 08096, US","ACME Markets","• Bachelor's Degree in Pharmacy or Pharm.D or equivalent FPGEC (NABP) • Active pharmacy license in state(s) of practice with all held licenses in good standing • Certified Immunizer Required • 1 year of supervisory experience in a pharmacy setting preferred • Ability to work a variety of schedules"
"Deli Clerk","W743851","Retail, Store Ops","07/30/2026, 08:00 PM",,"Part time","8200 ROOSEVELT BLVD, PHILADELPHIA, PA, 19152, US","ACME Markets","· You are 18 years of age or older · You take pride in the work you do, whether big or small · You agree that food is central to all our lives · Helping customers and fellow associates gives you energy · Smiling and making others smile is your favorite · You are eager & willing to learn · Being a part of your community matters"
"Front End Entry Level","W731273","Retail, Store Ops","07/01/2026, 08:00 PM",,"Part time","8200 ROOSEVELT BLVD, PHILADELPHIA, PA, 19152, US","ACME Markets","You take pride in the work you do, whether big or small. You believe that food is central to all our lives. Helping customers and fellow associates gives you energy. Smiling and making others smile is your favorite. You are eager, willing, and wanting to learn & grow. You believe that being a part of your community matters."
"Fresh Cut Produce Clerk","757415","Retail, Store Ops","08/25/2026, 12:28 PM","09/24/2026, 12:28 PM","Part time","8200 ROOSEVELT BLVD, PHILADELPHIA, PA, 19152, US","ACME Markets","· Food Prep Experience: Prior experience in grocery, food service, or produce prep preferred. · Knife Skills & Safety Awareness: Comfortable using knives and other prep tools with attention to safety and precision. · Freshness Standards: Ability to identify quality produce and follow food safety and handling guidelines. · Customer Service: Friendly and helpful attitude with the ability to assist customers and communicate clearly. · Multitasking & Time Management: Capable of juggling multiple tasks efficiently in a fast-paced environment. · Cleanliness & Organization: Commitment to maintaining a clean, sanitary, and organized workspace. · Physical Capability: Ability to stand for extended periods and lift up to 40 lbs. with or without accommodation. · Teamwork: Willingness to support fellow associates and contribute to a positive store culture."
"Meat - Seafood Clerk","759149","Retail, Store Ops","08/30/2026, 10:46 AM","09/29/2026, 10:46 AM","Part time","8200 ROOSEVELT BLVD, PHILADELPHIA, PA, 19152, US","ACME Markets","You take pride in the work you do, whether big or small. You agree that food is central to all our lives. Helping customers and fellow associates gives you energy. Smiling and making others smile is your favorite. You are eager, willing, and wanting to learn & grow. You believe that being a part of your community matters."
"Front End Entry Level","758601","Retail, Store Ops","08/28/2026, 11:44 AM","09/27/2026, 11:44 AM","Part time","8200 ROOSEVELT BLVD, PHILADELPHIA, PA, 19152, US","ACME Markets","You take pride in the work you do, whether big or small. You believe that food is central to all our lives. Helping customers and fellow associates gives you energy. Smiling and making others smile is your favorite. You are eager, willing, and wanting to learn & grow. You believe that being a part of your community matters."
"Baker","W743965","Retail, Store Ops","07/30/2026, 08:00 PM",,"Part time","590 KINGS HWY AND LENOLA RD, MAPLE SHADE, NJ, 08052, US","ACME Markets","· You agree that food is central in all our lives · You relish in the smell of freshly baked pastries, breads, and more · Helping customers and fellow associates gives you energy · You take pride in the work you do, whether big or small · You are eager & willing to learn · Being a part of your community matters"
"Deli Clerk","762779","Retail, Store Ops","09/04/2026, 04:15 PM",,"Part time","590 KINGS HWY AND LENOLA RD, MAPLE SHADE, NJ, 08052, US","ACME Markets","· You are 18 years of age or older · You take pride in the work you do, whether big or small · You agree that food is central to all our lives · Helping customers and fellow associates gives you energy · Smiling and making others smile is your favorite · You are eager & willing to learn · Being a part of your community matters"
"Front End Entry Level","765425","Retail, Store Ops","09/11/2026, 12:20 PM",,"Part time","590 KINGS HWY AND LENOLA RD, MAPLE SHADE, NJ, 08052, US","ACME Markets","You take pride in the work you do, whether big or small. You believe that food is central to all our lives. Helping customers and fellow associates gives you energy. Smiling and making others smile is your favorite. You are eager, willing, and wanting to learn & grow. You believe that being a part of your community matters."
